Instance 123: p_3=-62.41212, p_4=-64.97832
Instance 124: p_3=-62.41212, p_4=-64.97832
Instance 125: p_3=-62.41212, p_4=-64.97832
Instance 126: p_3=-62.41212, p_4=-64.97832
Instance 127: p_3=-62.41212, p_4=-64.97832
Instance 128: p_3=-62.41212, p_4=-64.97832
Instance 129: p_3=-62.41212, p_4=-64.97832
Instance 130: p_3=-62.41212, p_4=-64.97832
Instance 131: p_3=-62.41212, p_4=-64.97832
Instance 132: p_3=-62.41212, p_4=-64.97832
Instance 133: p_3=-62.41212, p_4=-64.97832
Instance 134: p_3=-62.41212, p_4=-64.97832
Instance 135: p_3=-62.41212, p_4=-64.97832
Instance 136: p_3=-62.41212, p_4=-64.97832
Instance 137: p_3=-62.41212, p_4=-64.97832
Instance 138: p_3=-62.41212, p_4=-64.97832
Instance 139: p_3=-62.41212, p_4=-64.97832
Instance 140: p_3=-62.41212, p_4=-64.97832
Instance 141: p_3=-62.41212, p_4=-64.97832
Instance 142: p_3=-62.41212, p_4=-64.97832
Instance 143: p_3=-62.41212, p_4=-64.97832
Instance 144: p_3=-62.41212, p_4=-64.97832
Instance 145: p_3=-62.41212, p_4=-64.97832
Instance 146: p_3=-62.41212, p_4=-64.97832
Instance 147: p_3=-62.41212, p_4=-64.97832
Instance 148: p_3=-62.41212, p_4=-64.97832
Instance 149: p_3=-62.41212, p_4=-64.97832
Instance 150: p_3=-62.41212, p_4=-64.97832
Instance 151: p_3=-62.41212, p_4=-64.97832
Instance 152: p_3=-62.41212, p_4=-64.97832
Instance 153: p_3=-62.41212, p_4=-64.97832
Instance 154: p_3=-62.41212, p_4=-64.97832
Instance 155: p_3=-62.41212, p_4=-64.97832
Instance 156: p_3=-62.41212, p_4=-64.97832
Instance 157: p_3=-62.41212, p_4=-64.97832
Instance 158: p_3=-62.41212, p_4=-64.97832
Instance 159: p_3=-62.41212, p_4=-64.97832
Instance 160: p_3=-62.41212, p_4=-64.97832
Instance 161: p_3=-62.41212, p_4=-64.97832
Instance 162: p_3=-62.41212, p_4=-64.97832
Instance 163: p_3=-62.41212, p_4=-64.97832
Instance 164: p_3=-62.41212, p_4=-64.97832
Instance 165: p_3=-62.41212, p_4=-64.97832
Instance 166: p_3=-62.41212, p_4=-64.97832
Instance 167: p_3=-62.41212, p_4=-64.97832
Instance 168: p_3=-62.41212, p_4=-64.97832
Instance 169: p_3=-62.41212, p_4=-64.97832
Instance 170: p_3=-62.41212, p_4=-64.97832
Instance 171: p_3=-62.41212, p_4=-64.97832
Instance 172: p_3=-62.41212, p_4=-64.97832
Instance 173: p_3=-62.41212, p_4=-64.97832
Instance 174: p_3=-62.41212, p_4=-64.97832
Instance 175: p_3=-62.41212, p_4=-64.97832
Instance 176: p_3=-62.41212, p_4=-64.97832
Instance 177: p_3=-62.41212, p_4=-64.97832
Instance 178: p_3=-62.41212, p_4=-64.97832
Instance 179: p_3=-62.41212, p_4=-64.97832
Instance 180: p_3=-62.41212, p_4=-64.97832
Instance 181: p_3=-62.41212, p_4=-64.97832
Instance 182: p_3=-62.41212, p_4=-64.97832
Instance 183: p_3=-62.41212, p_4=-64.97832
Instance 184: p_3=-62.41212, p_4=-64.97832
Instance 185: p_3=-62.41212, p_4=-64.97832
Instance 186: p_3=-62.41212, p_4=-64.97832
Instance 187: p_3=-62.41212, p_4=-64.97832
Instance 188: p_3=-62.41212, p_4=-64.97832
Instance 189: p_3=-62.41212, p_4=-64.97832
Instance 190: p_3=-62.41212, p_4=-64.97832
Instance 191: p_3=-62.41212, p_4=-64.97832
Instance 192: p_3=-62.41212, p_4=-64.97832
Instance 193: p_3=-62.41212, p_4=-64.97832
Instance 194: p_3=-62.41212, p_4=-64.97832
Instance 195: p_3=-62.41212, p_4=-64.97832
Instance 196: p_3=-62.41212, p_4=-64.97832
Instance 197: p_3=-62.41212, p_4=-64.97832
Instance 198: p_3=-62.41212, p_4=-64.97832
Instance 199: p_3=-62.41212, p_4=-64.97832
Instance 200: p_3=-62.41212, p_4=-64.97832
Instance 201: p_3=-62.41212, p_4=-64.97832
Instance 202: p_3=-62.41212, p_4=-64.97832
Instance 203: p_3=-62.41212, p_4=-64.97832
Instance 204: p_3=-62.41212, p_4=-64.97832
Instance 205: p_3=-62.41212, p_4=-64.97832
Instance 206: p_3=-62.41212, p_4=-64.97832
Instance 207: p_3=-62.41212, p_4=-64.97832
Instance 208: p_3=-62.41212, p_4=-64.97832
Instance 209: p_3=-62.41212, p_4=-64.97832
Instance 210: p_3=-62.41212, p_4=-64.97832
Instance 211: p_3=-62.41212, p_4=-64.97832
Instance 212: p_3=-62.41212, p_4=-64.97832
Instance 213: p_3=-62.41212, p_4=-64.97832
Instance 214: p_3=-62.41212, p_4=-64.97832
Instance 215: p_3=-62.41212, p_4=-64.97832
Instance 216: p_3=-62.41212, p_4=-64.97832
Instance 217: p_3=-62.41212, p_4=-64.97832
Instance 218: p_3=-62.41212, p_4=-64.97832
Instance 219: p_3=-62.41212, p_4=-64.97832
Instance 220: p_3=-62.41212, p_4=-64.97832
Instance 221: p_3=-62.41212, p_4=-64.97832
Instance 222: p_3=-62.41212, p_4=-64.97832
Instance 223: p_3=-62.41212, p_4=-64.97832
Instance 224: p_3=-62.41212, p_4=-64.97832
Instance 225: p_3=-62.41212, p_4=-64.97832
Instance 226: p_3=-62.41212, p_4=-64.97832
Instance 227: p_3=-62.41212, p_4=-64.97832
Instance 228: p_3=-62.41212, p_4=-64.97832
Instance 229: p_3=-62.41212, p_4=-64.97832
Instance 230: p_3=-62.41212, p_4=-64.97832
Instance 231: p_3=-62.41212, p_4=-64.97832
Instance 232: p_3=-62.41212, p_4=-64.97832
Instance 233: p_3=-62.41212, p_4=-64.97832
Instance 234: p_3=-62.41212, p_4=-64.97832
Instance 235: p_3=-62.41212, p_4=-64.97832
Instance 236: p_3=-62.41212, p_4=-64.97832
Instance 237: p_3=-62.41212, p_4=-64.97832
Instance 238: p_3=-62.41212, p_4=-64.97832
Instance 239: p_3=-62.41212, p_4=-64.97832
Instance 240: p_3=-62.41212, p_4=-64.97832
Instance 241: p_3=-62.41212, p_4=-64.97832
Instance 242: p_3=-62.41212, p_4=-64.97832
Instance 243: p_3=-62.41212, p_4=-64.97832
Instance 244: p_3=-62.41212, p_4=-64.97832
Instance 245: p_3=-62.41212, p_4=-64.97832
Instance 246: p_3=-62.41212, p_4=-64.97832
Instance 247: p_3=-62.41212, p_4=-64.97832
Instance 248: p_3=-62.41212, p_4=-64.97832
Instance 249: p_3=-62.41212, p_4=-64.97832
Instance 250: p_3=-62.41212, p_4=-64.97832
Instance 251: p_3=-62.41212, p_4=-64.97832
Instance 252: p_3=-62.41212, p_4=-64.97832
Instance 253: p_3=-62.41212, p_4=-64.97832
Instance 254: p_3=-62.41212, p_4=-64.97832
Instance 255: p_3=-62.41212, p_4=-64.97832
Instance 256: p_3=-62.41212, p_4=-64.97832
Instance 257: p_3=-62.41212, p_4=-64.97832
Instance 258: p_3=-62.41212, p_4=-64.97832
Instance 259: p_3=-62.41212, p_4=-64.97832
